airport_id,airport_code,city,state,mean_d_delay,mean_arr_delay,dep_flight_count,arr_flight_count,dep_late_count,arr_late_count,dep_late_perc,arr_late_perc,dep_taxi,arr_taxi
10693,BNA,Nashville, TN,10.28,6.77,1227,1316,429,499,0.35,0.379,13.67481662591687,6.639817629179332
13230,MDT,Harrisburg, PA,7.9,1.49,153,184,54,57,0.353,0.31,17.202614379084967,5.489130434782608
11003,CID,Cedar Rapids/Iowa City, IA,12.68,2.01,155,165,59,55,0.381,0.333,16.561290322580646,6.642424242424243
11111,COU,Columbia, MO,19.63,15.51,57,47,26,20,0.456,0.426,18.403508771929825,4.872340425531915
14685,SAV,Savannah, GA,9.7,6.4,284,280,86,100,0.303,0.357,14.97887323943662,5.935714285714286
10208,AGS,Augusta, GA,7.95,-1.37,91,83,32,19,0.352,0.229,16.53846153846154,4.9397590361445785
14730,SDF,Louisville, KY,8.1,8.43,446,452,153,168,0.343,0.372,15.452914798206278,7.272123893805309
15370,TUL,Tulsa, OK,6.69,5.62,272,273,77,111,0.283,0.407,15.011029411764707,4.615384615384615
10431,AVL,Asheville, NC,7.08,6.12,145,140,49,55,0.338,0.393,18.46206896551724,5.521428571428571
14698,SBP,San Luis Obispo, CA,1.24,1.54,99,84,29,30,0.293,0.357,16.525252525252526,4.214285714285714
11423,DSM,Des Moines, IA,6.27,5.58,266,273,81,101,0.305,0.37,14.436090225563909,5.706959706959707
14576,ROC,Rochester, NY,10.36,2.95,288,310,90,105,0.312,0.339,15.29861111111111,5.887096774193548
12945,LEX,Lexington, KY,5.21,4.07,214,183,66,63,0.308,0.344,16.023364485981308,5.120218579234972
10135,ABE,Allentown/Bethlehem/Easton, PA,4.13,1.63,85,100,29,28,0.341,0.28,14.941176470588236,4.79
14761,SFB,Sanford, FL,9.58,12.62,171,152,68,66,0.398,0.434,14.619883040935672,6.078947368421052
14908,SNA,Santa Ana, CA,5.54,0.77,683,740,222,253,0.325,0.342,14.004392386530014,5.774324324324325
12217,HSV,Huntsville, AL,1.84,-0.74,173,143,45,38,0.26,0.266,15.84971098265896,5.27972027972028
15919,XNA,Fayetteville, AR,6.32,2.91,251,231,82,72,0.327,0.312,15.796812749003983,6.138528138528138
14709,SCC,Deadhorse, AK,-12.6,-4.94,15,18,2,4,0.133,0.222,7.8,3.611111111111111
